Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.716049,1.000000,395428.000000
0.716049,1.000000,133619.000000
0.716049,1.000000,9662652.000000
0.716049,1.000000,209876.000000
0.716049,1.000000,650989.000000
0.716049,1.000000,4800211.000000
0.716049,1.000000,500046.000000
0.716049,1.000000,900081.000000
0.716049,1.000000,1678327.000000
0.716049,1.000000,8090602.000000
0.716049,1.000000,672790.000000
0.716049,1.000000,91093.000000
0.716049,1.000000,479249.000000
0.716049,1.000000,366905.000000
0.716049,1.000000,1824880.000000
0.716049,1.000000,30631.000000
0.716049,1.000000,196372.000000
0.716049,1.000000,2676024.000000
0.716049,1.000000,693515.000000
0.716049,1.000000,39101.000000
0.716049,1.000000,543141.000000
0.716049,1.000000,8829143.000000
0.716049,1.000000,19067.000000
0.716049,1.000000,273382.000000
0.716049,1.000000,245089.000000
0.716049,1.000000,1527686.000000
0.716049,1.000000,768136.000000
0.716049,1.000000,3312684.000000
0.716049,1.000000,10417656.000000
0.716049,1.000000,82893.000000
0.716049,1.000000,223851.000000
0.716049,1.000000,343390.000000
0.716049,1.000000,1310953.000000
0.716049,1.000000,3316135.000000
0.716049,1.000000,1734926.000000
0.716049,1.000000,1993638.000000
0.716049,1.000000,394141.000000
0.716049,1.000000,509379.000000
0.716049,1.000000,649118.000000
0.716049,1.000000,2724105.000000
0.716049,1.000000,4603903.000000
0.716049,1.000000,4967259.000000
0.716049,1.000000,653780.000000
0.716049,1.000000,35103.000000
0.716049,1.000000,2251178.000000
0.716049,1.000000,334028.000000
0.716049,1.000000,678875.000000
0.716049,1.000000,5520512.000000
0.716049,1.000000,352875.000000
0.716049,1.000000,2129874.000000
0.716049,1.000000,2342948.000000
0.716049,1.000000,582870.000000
0.716049,1.000000,14490617.000000
0.716049,1.000000,37978.000000
0.716049,1.000000,709417.000000
0.716049,1.000000,69521.000000
0.716049,1.000000,1016436.000000
0.716049,1.000000,2226795.000000
0.703704,1.000000,2340101.000000
0.703704,1.000000,3060397.000000
0.703704,1.000000,582313.000000
0.703704,1.000000,7109653.000000
0.703704,1.000000,47979.000000
0.703704,1.000000,243223.000000
0.703704,1.000000,873029.000000
0.703704,1.000000,441725.000000
0.703704,1.000000,4869634.000000
0.703704,1.000000,177436.000000
0.703704,1.000000,406087.000000
0.703704,1.000000,39349.000000
0.703704,1.000000,1059546.000000
0.703704,1.000000,5858611.000000
0.703704,1.000000,1009167.000000
0.703704,1.000000,1513779.000000
0.703704,1.000000,1534574.000000
0.703704,1.000000,1380750.000000
0.703704,1.000000,12473215.000000
0.703704,1.000000,1587536.000000
0.703704,1.000000,6167272.000000
0.703704,1.000000,33225.000000
0.703704,1.000000,247831.000000
0.703704,1.000000,4113102.000000
0.703704,1.000000,2259810.000000
0.703704,1.000000,7984220.000000
0.703704,1.000000,302500.000000
0.703704,1.000000,3606120.000000
0.703704,1.000000,424893.000000
0.703704,1.000000,794749.000000
0.703704,1.000000,776499.000000
0.703704,1.000000,229552.000000
0.703704,1.000000,1006516.000000
0.703704,1.000000,1546025.000000
0.703704,1.000000,26531.000000
0.703704,1.000000,1481160.000000
0.703704,1.000000,156346.000000
0.703704,1.000000,546144.000000
0.703704,1.000000,6395124.000000
0.703704,1.000000,15281101.000000
0.703704,1.000000,2215317.000000
0.703704,1.000000,2354214.000000
0.703704,1.000000,9118178.000000
0.703704,1.000000,57959.000000
0.703704,1.000000,229073.000000
0.703704,1.000000,488681.000000
0.703704,1.000000,371286.000000
0.703704,1.000000,41411.000000
0.703704,1.000000,79869.000000
0.703704,1.000000,3244816.000000
0.703704,1.000000,1647628.000000
0.703704,1.000000,55193.000000
0.703704,1.000000,285306.000000
0.703704,1.000000,120084.000000
0.703704,1.000000,356323.000000
0.703704,1.000000,100703.000000
0.703704,1.000000,9464626.000000
0.703704,1.000000,165465.000000
0.703704,1.000000,276400.000000
0.703704,1.000000,3939265.000000
0.703704,1.000000,3225586.000000
0.703704,1.000000,81494.000000
0.703704,1.000000,253338.000000
0.703704,1.000000,1617570.000000
0.703704,1.000000,278688.000000
0.703704,1.000000,40314.000000
0.703704,1.000000,90347.000000
0.703704,1.000000,3314647.000000
0.703704,1.000000,2029897.000000
0.703704,1.000000,2443034.000000
0.703704,1.000000,8125575.000000
0.703704,1.000000,4283292.000000
0.703704,1.000000,566695.000000
0.703704,1.000000,399869.000000
0.703704,1.000000,1282842.000000
0.703704,1.000000,1205982.000000
0.703704,1.000000,1089776.000000
0.703704,1.000000,837471.000000
0.703704,1.000000,1898796.000000
0.703704,1.000000,205403.000000
0.703704,1.000000,7754456.000000
0.703704,1.000000,1820495.000000
0.703704,1.000000,4511599.000000
0.703704,1.000000,3644283.000000
0.703704,1.000000,1134996.000000
0.703704,1.000000,6081754.000000
0.703704,1.000000,787653.000000
0.703704,1.000000,381964.000000
0.703704,1.000000,1788875.000000
0.703704,1.000000,1114539.000000
