Puzzle Difficulty,Elapsed Time (ns)
0.321,298936
0.321,93168
0.321,213006
0.321,86923
0.321,535226
0.321,104925
0.321,236549
0.321,305526
0.321,300704
0.321,91767
0.321,158998
0.321,133860
0.321,179362
0.321,242110
0.321,517493
0.321,159131
0.321,1103111
0.321,176829
0.321,93585
0.321,177068
0.321,175235
0.321,316787
0.321,625781
0.321,208879
0.321,2285750
0.321,76705
0.321,216149
0.321,327658
0.321,99699
0.321,995687
0.321,340997
0.321,2393402
0.321,106866
0.321,168042
0.321,950482
0.321,120029
0.321,1349439
0.321,99641
0.321,169839
0.321,156900
0.321,1994702
0.321,490617
0.321,487635
0.321,196536
0.321,144971
0.321,418741
0.321,511623
0.321,813423
0.321,1267550
0.321,280407
0.321,809844
0.321,133362
0.321,1212221
0.321,346135
0.321,102740
0.321,161461
0.321,1274212
0.321,124826
0.321,149341
0.321,367788
0.321,69605
0.321,495522
0.321,91613
0.321,228730
0.321,169257
0.321,704130
0.321,59885
0.321,51829
0.321,75543
0.321,201912
0.321,106219
0.321,285963
0.321,159260
0.321,410138
0.321,44391
0.321,347899
0.321,69632
0.321,788351
0.321,460475
0.321,235616
0.321,681390
0.321,166339
0.321,82853
0.321,607578
0.321,188286
0.321,121365
0.321,535027
0.321,337999
0.321,120540
0.321,214212
0.321,198614
0.321,236837
0.321,989022
0.321,322228
0.321,149256
0.321,668901
0.321,205837
0.321,181684
0.321,293225
0.321,520742
0.321,83348
0.321,843574
0.321,408191
0.321,321518
0.321,236572
0.321,142223
0.321,662399
0.321,720091
0.321,2254173
0.321,336363
0.321,101301
0.321,135234
0.321,93421
0.321,203834
0.321,253709
0.321,168476
0.321,1107420
0.321,382541
0.321,238160
0.321,239850
0.321,222830
0.321,90302
0.321,95973
0.321,223631
0.321,1039427
0.321,234264
0.321,284636
0.321,511573
0.321,420561
0.321,297694
0.321,725252
0.321,1375660
0.321,511722
0.321,723114
0.321,817473
0.321,1187766
0.321,301061
0.321,556247
0.321,309665
0.321,105619
0.321,132392
0.321,332693
0.321,267684
0.321,1165883
0.333,158798
0.333,234556
0.333,484460
0.333,823216
0.333,264741
0.333,385854
0.333,172512
0.333,2190506
0.333,1165331
0.333,91194
0.333,176239
0.333,626535
0.333,164756
0.333,1090449
0.333,1518270
0.333,93052
0.333,308814
0.333,202423
0.333,545553
0.333,335083
0.333,261162
0.333,271686
0.333,280424
0.333,34985
0.333,90089
0.333,378202
0.333,39094
0.333,85121
0.333,240312
0.333,87215
0.333,47704
0.333,64879
0.333,111229
0.333,62603
0.333,53967
0.333,224291
0.333,185384
0.333,153842
0.333,308656
0.333,135016
0.333,59426
0.333,168207
0.333,66652
0.333,136564
0.333,150607
0.333,34291
0.333,122000
0.333,647551
0.333,2351943
0.333,89285
0.333,891357
0.333,161339
0.333,315080
0.333,716747
0.333,98353
0.333,232055
0.333,98638
0.333,614770
0.333,188635
0.333,235181
0.333,264438
0.333,73207
0.333,176848
0.333,94379
0.333,853512
0.333,300664
0.333,76434
0.333,200471
0.333,665783
0.333,94253
0.333,264160
0.333,347703
0.333,449318
0.333,246503
0.333,156399
0.333,425445
0.333,759077
0.333,1533265
0.333,168583
0.346,98493
0.346,151350
0.346,367178
0.346,815284
0.346,147185
0.346,62650
0.346,313776
0.346,131806
0.346,127760
0.346,287306
0.346,97000
0.346,143530
0.346,228818
0.346,65191
0.358,147861
0.358,514651
0.210,456695
0.210,1641829
0.210,1713183
0.210,58340158
0.210,13048713
0.210,129163025
0.210,50294452
0.210,802626
0.210,55139271
0.210,50281724
0.210,8371572
0.309,1311572
0.259,2607680
0.210,20315096
0.210,2967616
0.210,8992849
0.272,643289
0.210,52851043
0.284,121597
0.309,2001691
0.210,75017881
0.296,193699
0.210,1679748
0.284,1702153
0.284,1040268
0.210,7449122
0.210,5164682
0.210,88232740
0.272,420819
0.210,1788691
0.259,972439
0.296,475233
0.296,279619
0.210,73848453
0.272,4270688
0.210,1080364
0.210,2755412
0.259,1036916
0.272,6124765
0.296,443789
0.210,19961367
0.210,10274424
0.296,7134934
0.284,1072772
0.284,1504419
0.210,44783697
0.259,2777677
0.272,929276
0.210,6460584
0.210,1603614
0.296,427163
0.272,353797
0.321,272255
0.309,568661
0.284,980465
0.309,356257
0.272,2332423
0.284,1617972
0.284,1411723
0.284,2692664
0.284,5669237
0.210,1579338
0.284,420197
0.272,7298269
0.259,88396
0.259,2029892
0.210,2834871
0.210,3560300
0.272,4670340
0.284,3405820
0.210,54669291
0.296,499833
0.210,5809445
0.235,5468201
0.309,4952118
