Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.703704,1.000000,226884.000000
0.703704,1.000000,464539.000000
0.703704,1.000000,275485.000000
0.703704,1.000000,2995071.000000
0.703704,1.000000,374803.000000
0.703704,1.000000,7392862.000000
0.703704,1.000000,2396878.000000
0.703704,1.000000,214544.000000
0.703704,1.000000,2135246.000000
0.703704,1.000000,464579.000000
0.703704,1.000000,1150515.000000
0.703704,1.000000,8115980.000000
0.703704,1.000000,245473.000000
0.703704,1.000000,1001282.000000
0.703704,1.000000,8593259.000000
0.703704,1.000000,29843.000000
0.703704,1.000000,2528491.000000
0.703704,1.000000,104669.000000
0.703704,1.000000,1771622.000000
0.703704,1.000000,1611829.000000
0.703704,1.000000,492361.000000
0.703704,1.000000,40785.000000
0.703704,1.000000,419195.000000
0.703704,1.000000,1077120.000000
0.703704,1.000000,6422881.000000
0.703704,1.000000,202355.000000
0.703704,1.000000,1317209.000000
0.703704,1.000000,4196909.000000
0.703704,1.000000,1470775.000000
0.703704,1.000000,82440.000000
0.703704,1.000000,742547.000000
0.703704,1.000000,78411.000000
0.703704,1.000000,455557.000000
0.703704,1.000000,5123388.000000
0.703704,1.000000,24211.000000
0.703704,1.000000,111379.000000
0.703704,1.000000,2529787.000000
0.703704,1.000000,1159625.000000
0.703704,1.000000,10041117.000000
0.703704,1.000000,1241278.000000
0.703704,1.000000,1993465.000000
0.703704,1.000000,349998.000000
0.703704,1.000000,540614.000000
0.703704,1.000000,2139298.000000
0.703704,1.000000,564801.000000
0.703704,1.000000,77351.000000
0.703704,1.000000,121216.000000
0.703704,1.000000,344062.000000
0.703704,1.000000,492739.000000
0.703704,1.000000,655914.000000
0.703704,1.000000,1283027.000000
0.703704,1.000000,1374274.000000
0.703704,1.000000,82408.000000
0.703704,1.000000,2437163.000000
0.703704,1.000000,143130.000000
0.703704,1.000000,8142514.000000
0.703704,1.000000,3277115.000000
0.703704,1.000000,4171824.000000
0.703704,1.000000,6800484.000000
0.703704,1.000000,597201.000000
0.703704,1.000000,675395.000000
0.703704,1.000000,270461.000000
0.703704,1.000000,657978.000000
0.703704,1.000000,521960.000000
0.703704,1.000000,142759.000000
0.703704,1.000000,4059341.000000
0.703704,1.000000,2605631.000000
0.703704,1.000000,2951693.000000
0.703704,1.000000,203352.000000
0.703704,1.000000,75787.000000
0.703704,1.000000,427606.000000
0.703704,1.000000,34387.000000
0.703704,1.000000,3141590.000000
0.703704,1.000000,873659.000000
0.703704,1.000000,1123872.000000
0.703704,1.000000,6188951.000000
0.703704,1.000000,5930351.000000
0.703704,1.000000,8655754.000000
0.703704,1.000000,2618943.000000
0.703704,1.000000,133646.000000
0.703704,1.000000,1450838.000000
0.703704,1.000000,422948.000000
0.703704,1.000000,3084673.000000
0.703704,1.000000,2133310.000000
0.703704,1.000000,373617.000000
0.703704,1.000000,251493.000000
0.703704,1.000000,2490441.000000
0.703704,1.000000,1451803.000000
0.703704,1.000000,98148.000000
0.703704,1.000000,141289.000000
0.703704,1.000000,358747.000000
0.703704,1.000000,6504162.000000
0.703704,1.000000,854131.000000
0.703704,1.000000,1179628.000000
0.703704,1.000000,430703.000000
0.703704,1.000000,43856.000000
0.703704,1.000000,43642.000000
0.703704,1.000000,6456136.000000
0.703704,1.000000,136635.000000
0.703704,1.000000,2606007.000000
0.703704,1.000000,1628335.000000
0.703704,1.000000,4418384.000000
0.703704,1.000000,689890.000000
0.703704,1.000000,270873.000000
0.703704,1.000000,1222273.000000
0.703704,1.000000,1498833.000000
0.703704,1.000000,613953.000000
0.703704,1.000000,105963.000000
0.703704,1.000000,866991.000000
0.703704,1.000000,956513.000000
0.703704,1.000000,86793.000000
0.703704,1.000000,8712419.000000
0.703704,1.000000,4678219.000000
0.703704,1.000000,623726.000000
0.703704,1.000000,31020.000000
0.703704,1.000000,304698.000000
0.703704,1.000000,2456798.000000
0.703704,1.000000,28226.000000
0.703704,1.000000,242218.000000
0.703704,1.000000,1540834.000000
0.703704,1.000000,138090.000000
0.703704,1.000000,6142980.000000
0.703704,1.000000,1018824.000000
0.703704,1.000000,666581.000000
0.703704,1.000000,635176.000000
0.703704,1.000000,736183.000000
0.703704,1.000000,145956.000000
0.703704,1.000000,1212808.000000
0.703704,1.000000,1226831.000000
0.703704,1.000000,255343.000000
0.703704,1.000000,364847.000000
0.703704,1.000000,58406.000000
0.703704,1.000000,235271.000000
0.703704,1.000000,5918192.000000
0.703704,1.000000,251230.000000
0.703704,1.000000,316858.000000
0.703704,1.000000,618195.000000
0.703704,1.000000,2050156.000000
0.703704,1.000000,564958.000000
0.703704,1.000000,3751968.000000
0.703704,1.000000,257564.000000
0.703704,1.000000,425327.000000
0.703704,1.000000,513596.000000
0.703704,1.000000,1502759.000000
0.703704,1.000000,5337060.000000
0.703704,1.000000,4975463.000000
0.703704,1.000000,69014.000000
0.703704,1.000000,15174992.000000
0.703704,1.000000,3227871.000000
0.703704,1.000000,28668.000000
0.703704,1.000000,602309.000000
0.703704,1.000000,7135003.000000
0.703704,1.000000,3837369.000000
0.703704,1.000000,3738111.000000
0.691358,1.000000,146690.000000
0.691358,1.000000,579894.000000
